ID,Name,Definition,Conception,Planning,Execution,Minimum Standard of Care,Labels
6509fa9bc770dc692d85a87e,Adult Friendships (Player 1),"Each of you gets this card because friends are key to your health, happiness, resilience, career, and sanity. Whether it’s grabbing coffee after school drop-off, a dinner date, a networking event, or a weekend trip away, nurturing friendships will reap huge dividends. Friendships are not a luxury you’ll make time for in the future so use this card guilt-free now. No partner resentment allowed either, as a girls’ or guys’ night out is about so much more than a cocktail. It’s about cultivating relationships that will support and sustain you along with boosting the health of your marriage.",ADULT FRIENDSHIPS,"- Prioritizing which friends are most important to you- Scheduling coffee, lunches, dinners, events, trips with friends","- Connecting with friends weekly (phone, text, email)- Taking time to remember friends’ birthdays, successes, challenges- Supporting friends during both happy and sad times",Do you have friends and do you see them?,""
6509fda908f5fe42fb79d38e,Adult Friendships (Player 2),"Each of you gets this card because friends are key to your health, happiness, resilience, career, and sanity. Whether it’s grabbing coffee after school drop-off, a dinner date, a networking event, or a weekend trip away, nurturing friendships will reap huge dividends. Friendships are not a luxury you’ll make time for in the future so use this card guilt-free now. No partner resentment allowed either, as a girls’ or guys’ night out is about so much more than a cocktail. It’s about cultivating relationships that will support and sustain you along with boosting the health of your marriage.",ADULT FRIENDSHIPS,"- Prioritizing which friends are most important to you- Scheduling coffee, lunches, dinners, events, trips with friends","- Connecting with friends weekly (phone, text, email)- Taking time to remember friends’ birthdays, successes, challenges- Supporting friends during both happy and sad times",Do you have friends and do you see them?,""
6509fdce34cc4389a5a1faf2,Aging/Ailing Parent,"Sandwich generation, anyone? From managing medications, meals, and doctors’ appointments to making visiting a priority, caring for an aging/ailing parent can be all-consuming, not to mention the emotional challenge of this inevitable but often unexpected new caregiver role. Even if you outsource some of the work or can afford in-home or assisted-living support, CPEing this card requires all the love in your heart and a good chunk of your time.","The Wild suit includes life-changing scenarios that rock your world, and come with a mind-numbing amount of invisible work. When you’re dealt a Wild card (hopefully temporarily), you’re entitled to ask for additional help from your partner guilt-free. Your partner is encouraged to reach out to your village for even more support, but the Wild cardholder is not the one who handles this delegation. You and your partner are also encouraged to remove cards from your deck, temporarily, while dealing with a Wild card.","","",Do you feel supported to take the lead on this wildcard? Will your partner be stepping up to take on other cards?,""
6509fde74d83fe655e7904ad,Auto,"Do you know what happens if you don’t put the new registration sticker on your car? You get a ticket that could have easily been avoided, that’s what. This cardholder handles all items relating to your family’s car(s), including putting that sticker on in a timely manner, paying for that darn ticket, renewing insurance, handling maintenance, getting car washes, regularly filling up with gas, and getting the oil checked so that you feel safe and secure in the family car.",AUTO,"- Researching cars to lease or buy (for budget, functionality, safety, look)- Scheduling maintenance (tire maintenance, oil, tune ups, certain mile inspections)- Researching auto insurance (consult with “home insurance” cardholder about a bundle)",- Renewing DMV registration- Cleaning (inside and out)- Managing inspections- Filling gas tank- Purchasing auto insurance and renewals,Are you driving a car that you feel safe in?,""
6509ffd18c0d3f1ac2e4cebc,Bathing & Grooming (Kids),"The nature of this cardholder’s responsibilities changes depending on your kids’ ages, but the point is that your kids need to brush their teeth, bathe, wash their faces, cut their nails, and brush their hair. Over and over again. Tip! Pay attention to your kids’ developing needs. If you notice a suspicious scent every time your teenager is within five feet, it’s probably time for this CPEer to buy deodorant and make sure your kid knows how often to use it. Daily!",BATHING & GROOMING (KIDS),"- Scheduling haircuts- Monitoring supply of bath products, detangler, scissors, toothbrushes and floss and notifying “home goods and supplies” cardholder","- Carrying out haircuts- Managing daily showers/baths including wash/brushing hair/brushing teeth- Cutting nails and toenails- Boo-boo care- Age-appropriate add-ons (e.g., deodorant, period care, razors, lotion, hair dryer, etc.)- Conducting lice checks when needed",Are your children groomed and presentable to the world? Would you be embarrassed to introduce your child to your boss? (i.e can you smell them from a mile away?),""
650a0517e8669101fa3ed74e,Bedtime Routine (Kids),"It can be super rewarding when nighttime includes bonding over the day’s events, cuddling like nobody’s business, or lying quietly with your precious child. Not so much when this routine becomes a battle over bedtime. Pleas for just one more glass of water or five more minutes of reading can test your patience and fortitude (no wonder Go the F**k to Sleep is a bestselling book). While one person needs to take the CPE lead, the other is not home free (i.e., this is not an ideal window of time for you to hit the couch and start flipping channels). Your collaboration is encouraged. Try this: One partner holds the “bathing and grooming (kids)” card to get the party started while the other is responsible for jammies, stories, and lights out. Keep in mind that this routine won’t last forever. Before you know it, your babies will be teenagers and you’ll be going to sleep long before them.",BEDTIME ROUTINE (DG),- Encouraging reading or quiet activity before bed- Coordinating with “bathing and grooming (kids)” cardholder to follow their lead on routine schedule,- Enforcing lights-out policy at particular time- Reading with kids- Bringing kids to the bathroom- Filling bedside water glass,Are the kids calm before bed and well-rested?,""
650a057c0e83c75ef202a29b,Birth Control,"Why is this a separate card instead of being a component of self-care or medical? Because the woman should not be the she-fault cardholder, meaning either of you can claim this card. If having a baby is not on you and your partner’s agenda, this cardholder will research contraception options, which may include buying condoms, the pill, an IUD, or scheduling a vasectomy. (Not sure if being too tired to have sex at all is considered a form of birth control? Ask around.)",BIRTH CONTROL,"- Researching options (vasectomy, pill/IUD, condoms, etc.)- Scheduling doctor appointment(s), if applicable",- Implementing plan,Are you protected from getting pregnant?,""
650a0648e1b1168db25fe062,Birthday Celebrations (Other Kids),"From RSVPing to buying presents, the birthday party circuit for your kids is riddled with opportunities for missteps . . . like when you’re already out the door and realize it’s a princess dress-up theme. Oops. And why didn’t anyone warn you how many weekend hours you’d be spending at other kids’ birthday parties chitchatting with parents you hardly know? Do a happy dance if siblings are invited so you can have two kids in the same place at the same time. Note! If you have two or more kids who have to be at separate birthday celebrations, you and your partner can both hold this card separately. A Kid Split means you both CPE the same card at the same time but for separate kids. See page 267 for more about splitting cards. Post Note! This card pairs with the “transportation (kids)” and “gifts (VIPs)” cards. Meaning, if you RSVP’d yes to the birthday party at the trampoline park, you are responsible for getting your son there (gift in hand) and picking him up afterward.",BIRTHDAY CELEBRATIONS (OTHER KIDS),- RSVPing to invitations (informing “calendar keeper” cardholder)- Arranging for transportation/attending if younger child,"- Purchasing stickers/cards, wrapping, gift cards and/or birthday gifts- Wrapping gift(s)- Filling out facility waivers (e.g., trampoline park)- Providing money to child if necessary- Attending party if younger child",Did you RSVP after consulting with your partner and did your kid get there on time with a gift and enjoy the party?,""
650a06ea2b6c40e38c1cf50d,Birthday Celebrations (Kids),"Have you ever tried shoving a dozen balloons into the trunk of your car? It’s like playing a game of whack-a-mole but you get no prize. How about copying and pasting email addresses for the whole class into your online invitation? Time suck. These are just illustrations of the many tasks you’ll handle when planning your child’s birthday party. Even if you keep it simple with a family dinner at home, this cardholder might be the one who battles rush-hour traffic to pick up a cake at a favorite bakery before it closes. Don’t forget candles, but no need to buy a present unless you’re also the “gifts (family)” lead.",BIRTHDAY CELEBRATIONS (YOUR KIDS),"- Discussing party expectations with your child- Creating an invite list- Researching party location options, including available dates, pricing, and number of children allowed- Planning family dinner and other special surprises for day of- In school birthday party preparation and supplies","- Booking entertainment- Designing an online invitation or ordering printed ones and sending- Ordering favors, decorations, cake, candles, and paper products for party Note: Purchasing gifts is the responsibility of the “gifts (family)” cardholder",Did the celebration honor your child in a way that felt good to them?,""
650a080b888c8f2a938ffa31,Calendar Keeper,"You know how some business executives have an assistant to schedule all their meetings and events? Well, your family is busier but you have no one. It’s up to you to create a system that works for your family so everyone knows what’s on the calendar day to day and week to week and plans accordingly. Just when you think you’ve nailed the schedule and hung it on the wall, you’ll find out that soccer practice is on the same day as Boy Scouts and you’ll be back to square one. Add in your own commitments along with your spouse’s, and you’ve got a job with more moving parts than a millipede.",CALENDAR KEEPER (DG),- Researching how to keep a shared calendar/joint calendar option/app- Pick a shared calendar option- Conversations/coordinating/tracking invitations with other cardholders,- Adding/deleting appointments- Creating kids schedules for helpers with “childcare helpers” cardholder,Does everyone know where they need to be before they have to be there?,""
650a0871430a3c1a1a3eb801,Cash & Bills,"How darn hard can it be to get to the bank so you have adequate cash on hand (after consulting the “money manager,” who can help define the standard for adequate)? Enter this cardholder, who will set up a system that prevents all interested parties from ever uttering or hearing, “Sorry, hon, I’ve only got five bucks.” This CPEer also handles the payment (on time!) of all bills, whether online, checks in the mail, or auto-pay, and balances the checkbook (or the virtual equivalent). Cozy up with the “mail” cardholder, who will ensure paper bills come your way.",CASH & BILLS,- Set up auto-pay and/or reminders,"- Withdrawing cash for the week- Paying all bills and vendor invoices (auto pay/electronic, Venmo, checks, cash)- Balancing checkbook- Doling out children’s allowance",Do you have cash when you need it? Were all the bills paid on time with no late fees?,""
